Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",프로바이오틱스 슈퍼19,"[프로바이오틱스 제품] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음 

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)비오팜,캡슐,," 1. 알레르기 체질이신 경우 성분을 확인 한 후 섭취하십시오.

 2. 개인의 신체상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오..

 3. 동봉된 실리카겔은 방습제이므로 섭취하지 마십시오.

 4. 섭취전 제품에 이상이 있는 경우 섭취하지 마십시오.",
1일 1회 1포를 섭취하십시오.,홍삼정마일드센스, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)한국인삼공사,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1정을 물과 함께 섭취",비타민D 400IU,[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌,(주)뉴트리바이오텍,알약,," 1.  알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.

 2.  강력방습제인 실리카겔은 섭취하시 마십시오.

 3.  이상증상이 생길 경우 섭취를 중단하고, 의사와 상담하십시오.",
"1일 1회, 1회 1포씩(10 g)섭취하시기 바랍니다.",6년근고려홍삼정365스틱궁, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,대동고려삼(주),액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 2캡슐을 충분한 물과 함께 섭취.",한미실리마린골드,"[밀크씨슬(카르두스 마리아누스) 추출물 제품] 1.  간 건강에 도움을 줄 수 있음

[옥타코사놀함유유지 제품] 1. 지구력 증진에 도움을 줄 수 있음",주식회사한미양행,캡슐,,"[밀크씨슬(카르두스 마리아누스) 추출물 제품] 1.  알레르기 반응이 나타나는 경우에는 섭취 중단  2.  설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의

알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.",
"1일 2회, 1회 2정을 충분한 물과 함께 섭취하십시오.",올빼미 가르시니아," 1. 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

 1. 배변활동 원활에 도움을 줄 수 있음

 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

 1. 탄수화물과 에너지 대사에 필요

 1. 체내 에너지 생성에 필요

 1. 체내 에너지 생성에 필요

 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

 1. 유해산소로부터 세포를 보호하는데 필요

 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",주식회사한미양행,알약,,알레르기 체질이신 경우 성분을 확인 한 후 섭취하시기 바랍니다.,
"1일 1회, 1회 2캡슐(0.6 g)을 충분한 물과 함께 섭취하십시오.",이너비히알루론산,피부 보습에 도움을 줄 수 있음,(주)서흥,캡슐,,"1) 임산부, 수유부는 섭취에 주의
2) 알레르기 체질 및 특이체질, 질병치료 중인  사람은 섭취에 주의",
"1일 3회, 1회 3정을 물과 함께 섭취하십시오.",한풍글루코사민프리미엄,"[글루코사민 제품]관절 및 연골 건강에 도움을 줄 수 있음

[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 골다공증발생 위험 감소에 도움을 줌",(주)한풍네이처팜,알약,,"[글루코사민 제품]게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함)

- 특이체질, 알레르기 체질이신 경우 성분을 확인하신 후 섭취하여 주시기 바랍니다. 

- 제품 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.",
"1일 1회, 1회 1캡슐을 물과 함께 섭취하십시오.",하이업쏘팔메토,"[쏘팔메토열매추출물 제품]전립선 건강의 유지에 도움을 줄 수 있음.

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",(주)한국씨엔에스팜,캡슐,,"[쏘팔메토열매추출물 제품]메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음.

 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"동봉된 스푼을 이용하여 1일 3회, 1회당 한스푼(1g 상당)씩 온수 또는 냉수 80ml에 넣고 저은 후 섭취",흑삼농축액, 1. 면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음,대동고려삼(주),액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
